#{"t_start": 1772927287.401941, "env_id": "None"}
r,l,t
-10.0,1,0.44731
-10.0,1,0.448038
-10.0,1,0.448586
-10.0,1,0.449119
-10.0,1,0.449611
-10.0,1,0.450079
-10.0,1,0.450552
-10.0,1,0.451222
-9.99,2,0.45237
-10.0,1,0.453248
-10.0,1,0.453818
-10.0,1,0.454319
-10.0,1,0.454802
-10.0,1,0.455265
-10.0,1,0.455725
-10.0,1,0.456175
-10.0,1,0.456621
-10.0,1,0.457066
-10.0,1,0.457514
-10.0,1,0.457981
-9.99,2,0.458883
-10.0,1,0.45932
-10.0,1,0.45976
-10.0,1,0.460204
-10.0,1,0.460648
-10.0,1,0.461116
-10.0,1,0.461553
-10.0,1,0.461992
-10.0,1,0.462461
-10.0,1,0.462915
-10.0,1,0.463366
-10.0,1,0.463817
-10.0,1,0.464254
-10.0,1,0.464707
-10.0,1,0.465148
-10.0,1,0.46559
-10.0,1,0.466028
-10.0,1,0.466469
-10.0,1,0.466942
-10.0,1,0.467383
-9.98,3,0.468664
-10.0,1,0.469103
-10.0,1,0.469539
-10.0,1,0.469975
-10.0,1,0.47041
-10.0,1,0.47119
-10.0,1,0.471934
-10.0,1,0.472471
-10.0,1,0.472949
-10.0,1,0.473426
-10.0,1,0.473875
-9.99,2,0.47481
-10.0,1,0.47535
-10.0,1,0.475941
-10.0,1,0.476408
-10.0,1,0.476875
-10.0,1,0.47731
-10.0,1,0.477751
-10.0,1,0.478184
-10.0,1,0.478618
-10.0,1,0.479044
-10.0,1,0.479484
-10.0,1,0.479909
-10.0,1,0.480344
-10.0,1,0.480955
-10.0,1,0.48161
-10.0,1,0.482108
-10.0,1,0.482589
-9.99,2,0.483493
-9.99,2,0.484571
-10.0,1,0.485142
-10.0,1,0.485722
-10.0,1,0.486286
-10.0,1,0.486885
-10.0,1,0.487447
-10.0,1,0.487916
-10.0,1,0.488389
-10.0,1,0.488835
-10.0,1,0.489295
-10.0,1,0.489736
-9.99,2,0.490634
-10.0,1,0.491089
-10.0,1,0.491572
-10.0,1,0.492031
-10.0,1,0.492547
-10.0,1,0.493078
-10.0,1,0.493575
-10.0,1,0.494086
-10.0,1,0.494586
-10.0,1,0.495107
-10.0,1,0.495854
-10.0,1,0.496387
-10.0,1,0.496892
-10.0,1,0.497367
-10.0,1,0.497833
-10.0,1,0.498291
-10.0,1,0.498755
-10.0,1,0.499237
-10.0,1,0.499687
-10.0,1,0.500139
-10.0,1,0.500592
-10.0,1,0.501058
-10.0,1,0.501514
-10.0,1,0.501963
-10.0,1,0.502443
-10.0,1,0.503111
-10.0,1,0.503592
-10.0,1,0.504048
-10.0,1,0.504505
-10.0,1,0.504954
-10.0,1,0.505396
-9.99,2,0.506451
-10.0,1,0.50695
-10.0,1,0.507421
-10.0,1,0.507932
-9.99,2,0.508834
-10.0,1,0.5094
-10.0,1,0.509917
-10.0,1,0.510426
-10.0,1,0.51095
-10.0,1,0.511519
-10.0,1,0.512028
-10.0,1,0.512549
-10.0,1,0.513017
-9.99,2,0.51392
-10.0,1,0.514369
-10.0,1,0.514818
-10.0,1,0.51528
-9.99,2,0.516255
-10.0,1,0.516782
-10.0,1,0.517317
-10.0,1,0.517918
-10.0,1,0.518362
-10.0,1,0.518789
-10.0,1,0.519225
-10.0,1,0.51966
-10.0,1,0.520091
-10.0,1,0.520523
-10.0,1,0.520989
-10.0,1,0.521431
-10.0,1,0.521855
-10.0,1,0.522289
-10.0,1,0.522723
-9.99,2,0.523563
-10.0,1,0.523999
-10.0,1,0.524433
-10.0,1,0.524856
-10.0,1,0.525307
-10.0,1,0.52574
-10.0,1,0.526175
-10.0,1,0.526605
-10.0,1,0.527034
-10.0,1,0.527601
-10.0,1,0.528236
-10.0,1,0.528707
-10.0,1,0.529131
-10.0,1,0.529568
-10.0,1,0.530019
-10.0,1,0.530441
-10.0,1,0.530869
-10.0,1,0.531294
-10.0,1,0.531724
-10.0,1,0.532153
-10.0,1,0.532591
-10.0,1,0.533028
-10.0,1,0.533453
-10.0,1,0.533882
-10.0,1,0.534323
-10.0,1,0.53475
-10.0,1,0.535185
-10.0,1,0.535613
-10.0,1,0.536035
-10.0,1,0.536462
-10.0,1,0.536888
-10.0,1,0.537314
-10.0,1,0.537907
-10.0,1,0.538354
-10.0,1,0.538799
-10.0,1,0.539233
-10.0,1,0.539658
-9.99,2,0.540505
-9.99,2,0.541352
-10.0,1,0.541787
-9.99,2,0.542624
-10.0,1,0.543073
-10.0,1,0.543505
-10.0,1,0.543957
-10.0,1,0.544395
-10.0,1,0.544826
-10.0,1,0.545257
-10.0,1,0.545685
-10.0,1,0.546112
-10.0,1,0.546543
-9.99,2,0.547386
-10.0,1,0.5483
-10.0,1,0.548905
-10.0,1,0.549467
-10.0,1,0.549973
-10.0,1,0.550478
-10.0,1,0.551089
-10.0,1,0.551616
-10.0,1,0.552173
-10.0,1,0.552735
-10.0,1,0.553334
-10.0,1,0.553826
-10.0,1,0.554293
-10.0,1,0.554745
-9.99,2,0.555717
-10.0,1,0.556243
-10.0,1,0.556787
-9.99,2,0.557809
-10.0,1,0.558285
-10.0,1,0.55875
-10.0,1,0.559213
-10.0,1,0.559656
-9.99,2,0.560567
-10.0,1,0.561021
-10.0,1,0.561484
-10.0,1,0.562083
-9.99,2,0.56316
-9.98,3,0.564567
-10.0,1,0.565034
-10.0,1,0.565497
-10.0,1,0.565943
-9.99,2,0.566828
-10.0,1,0.567282
-9.99,2,0.568229
-10.0,1,0.568699
-10.0,1,0.569189
-9.99,2,0.570148
-10.0,1,0.570674
-10.0,1,0.571134
-10.0,1,0.571608
-10.0,1,0.572074
-10.0,1,0.572539
-9.99,2,0.573403
-10.0,1,0.573864
-9.99,2,0.57473
-10.0,1,0.575196
-9.99,2,0.576134
-10.0,1,0.576638
-9.98,3,0.57807
-10.0,1,0.578513
-10.0,1,0.578973
-10.0,1,0.579587
-10.0,1,0.580139
-9.99,2,0.581133
-10.0,1,0.581597
-10.0,1,0.582076
-10.0,1,0.582535
-10.0,1,0.583002
-10.0,1,0.583466
-10.0,1,0.583922
-10.0,1,0.584407
-10.0,1,0.584866
