#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,0.588768
-9.99,2,0.589616
-10.0,1,0.590059
-9.99,2,0.590932
-10.0,1,0.591374
-9.99,2,0.592215
-10.0,1,0.592649
-10.0,1,0.593077
-10.0,1,0.593514
-10.0,1,0.593945
-10.0,1,0.594381
-10.0,1,0.595075
-10.0,1,0.59562
-10.0,1,0.596107
-10.0,1,0.596681
-10.0,1,0.597167
-10.0,1,0.597636
-10.0,1,0.598118
-10.0,1,0.598559
-10.0,1,0.598995
-10.0,1,0.599444
-10.0,1,0.599905
-10.0,1,0.600359
-10.0,1,0.600798
-10.0,1,0.601282
-10.0,1,0.601856
-10.0,1,0.602379
-10.0,1,0.602979
-10.0,1,0.603463
-10.0,1,0.603891
-10.0,1,0.60433
-9.99,2,0.605509
-10.0,1,0.606071
-10.0,1,0.606629
-10.0,1,0.607185
-10.0,1,0.607732
-10.0,1,0.60825
-10.0,1,0.608697
-10.0,1,0.609134
-10.0,1,0.609577
-10.0,1,0.610045
-10.0,1,0.610486
-10.0,1,0.610924
-10.0,1,0.611364
-10.0,1,0.611801
-10.0,1,0.612246
-10.0,1,0.61268
-10.0,1,0.613116
-10.0,1,0.613552
-10.0,1,0.614053
-10.0,1,0.614555
-10.0,1,0.615018
-10.0,1,0.615523
-10.0,1,0.615984
-10.0,1,0.616425
-10.0,1,0.616866
-10.0,1,0.617307
-9.99,2,0.618242
-9.99,2,0.61919
-9.99,2,0.620149
-10.0,1,0.620652
-10.0,1,0.621125
-10.0,1,0.621571
-10.0,1,0.622018
-9.99,2,0.622897
-10.0,1,0.623346
-10.0,1,0.623808
-10.0,1,0.624246
-10.0,1,0.624687
-10.0,1,0.62515
-10.0,1,0.625613
-10.0,1,0.626098
-10.0,1,0.626712
-10.0,1,0.627158
-10.0,1,0.627594
-10.0,1,0.628022
-10.0,1,0.628468
-10.0,1,0.6289
-10.0,1,0.629325
-10.0,1,0.629763
-10.0,1,0.630215
-9.99,2,0.631062
-10.0,1,0.631508
-10.0,1,0.631946
-10.0,1,0.632384
-10.0,1,0.632853
-9.99,2,0.633699
-10.0,1,0.634133
-10.0,1,0.634567
-10.0,1,0.635005
-10.0,1,0.635436
-10.0,1,0.635866
-10.0,1,0.636462
-10.0,1,0.637202
-10.0,1,0.637842
-10.0,1,0.638326
-10.0,1,0.638761
-10.0,1,0.639193
-10.0,1,0.639627
-10.0,1,0.64006
-10.0,1,0.640496
-10.0,1,0.64093
-10.0,1,0.641369
-10.0,1,0.641798
-10.0,1,0.642249
-10.0,1,0.642706
-10.0,1,0.643131
-10.0,1,0.643564
-10.0,1,0.643995
-10.0,1,0.644435
-10.0,1,0.644881
-10.0,1,0.645307
-10.0,1,0.645738
-10.0,1,0.646172
-10.0,1,0.64684
-10.0,1,0.647297
-10.0,1,0.647732
-10.0,1,0.648156
-9.99,2,0.649014
-10.0,1,0.649443
-10.0,1,0.649895
-10.0,1,0.650341
-10.0,1,0.65078
-10.0,1,0.651229
-10.0,1,0.651662
-10.0,1,0.652095
-10.0,1,0.652526
-10.0,1,0.652948
-10.0,1,0.653378
-10.0,1,0.65381
-10.0,1,0.654241
-10.0,1,0.654673
-10.0,1,0.655104
-10.0,1,0.655552
-10.0,1,0.655996
-10.0,1,0.656701
-10.0,1,0.657418
-10.0,1,0.657949
-10.0,1,0.658441
-10.0,1,0.658929
-10.0,1,0.659392
-10.0,1,0.659995
-10.0,1,0.660536
-10.0,1,0.661098
-10.0,1,0.661685
-10.0,1,0.66219
-10.0,1,0.662783
-10.0,1,0.663281
-10.0,1,0.663772
-10.0,1,0.664263
-10.0,1,0.664721
-9.99,2,0.665684
-10.0,1,0.666207
-10.0,1,0.666739
-10.0,1,0.667359
-10.0,1,0.66782
-10.0,1,0.668264
-10.0,1,0.668698
-10.0,1,0.669129
-10.0,1,0.669562
-10.0,1,0.669988
-10.0,1,0.670419
-10.0,1,0.670869
-10.0,1,0.671302
-10.0,1,0.671735
-10.0,1,0.672171
-10.0,1,0.672607
-10.0,1,0.673046
-10.0,1,0.673481
-10.0,1,0.673911
-10.0,1,0.674353
-10.0,1,0.674798
-10.0,1,0.675249
-10.0,1,0.675681
-10.0,1,0.676114
-10.0,1,0.676554
-10.0,1,0.676989
-10.0,1,0.677726
-10.0,1,0.67836
-10.0,1,0.678923
-10.0,1,0.679485
-10.0,1,0.679971
-10.0,1,0.680461
-10.0,1,0.680946
-9.99,2,0.68186
