#{"t_start": 1772948898.505754, "env_id": "None"}
r,l,t
-1.0,1,0.442565
-1.0,1,0.443222
-1.0,1,0.443733
-1.0,1,0.444201
-1.0,1,0.444662
-1.0,1,0.445118
-1.0,1,0.445557
-1.0,1,0.445989
-0.99,2,0.446903
-1.0,1,0.44739
-1.0,1,0.44783
-1.0,1,0.448286
-1.0,1,0.448717
-1.0,1,0.449141
-1.0,1,0.449561
-1.0,1,0.449981
-1.0,1,0.450398
-1.0,1,0.450816
-1.0,1,0.451236
-1.0,1,0.451701
-0.99,2,0.452588
-1.0,1,0.453014
-1.0,1,0.453431
-1.0,1,0.45385
-1.0,1,0.45427
-1.0,1,0.454694
-1.0,1,0.455111
-1.0,1,0.45553
-1.0,1,0.455972
-1.0,1,0.456393
-1.0,1,0.456808
-1.0,1,0.457215
-1.0,1,0.457628
-1.0,1,0.458042
-1.0,1,0.458461
-1.0,1,0.458874
-1.0,1,0.459299
-1.0,1,0.459718
-1.0,1,0.460169
-1.0,1,0.46061
-0.98,3,0.461824
-1.0,1,0.462244
-1.0,1,0.462661
-1.0,1,0.463087
-1.0,1,0.463518
-1.0,1,0.463934
-1.0,1,0.464375
-1.0,1,0.464795
-1.0,1,0.465243
-1.0,1,0.465657
-1.0,1,0.466071
-0.99,2,0.466879
-1.0,1,0.467301
-1.0,1,0.467717
-1.0,1,0.468129
-1.0,1,0.468577
-1.0,1,0.469001
-1.0,1,0.469414
-1.0,1,0.469827
-1.0,1,0.47024
-1.0,1,0.470651
-1.0,1,0.471063
-1.0,1,0.471474
-1.0,1,0.471889
-1.0,1,0.472299
-1.0,1,0.472732
-1.0,1,0.473145
-1.0,1,0.473557
-0.99,2,0.474371
-0.99,2,0.475181
-1.0,1,0.475617
-1.0,1,0.47606
-1.0,1,0.476496
-1.0,1,0.476925
-1.0,1,0.477353
-1.0,1,0.477764
-1.0,1,0.478175
-1.0,1,0.478588
-1.0,1,0.478999
-1.0,1,0.47941
-0.99,2,0.480241
-1.0,1,0.480656
-1.0,1,0.481102
-1.0,1,0.481538
-1.0,1,0.481954
-1.0,1,0.482363
-1.0,1,0.482774
-1.0,1,0.483185
-1.0,1,0.483597
-1.0,1,0.484007
-1.0,1,0.484417
-1.0,1,0.484827
-1.0,1,0.485282
-1.0,1,0.485703
-1.0,1,0.486114
-1.0,1,0.486524
-1.0,1,0.486934
-1.0,1,0.487345
-1.0,1,0.487756
-1.0,1,0.488172
-1.0,1,0.488585
-1.0,1,0.489001
-1.0,1,0.489453
-1.0,1,0.489868
-1.0,1,0.490295
-1.0,1,0.490704
-1.0,1,0.491119
-1.0,1,0.49153
-1.0,1,0.491942
-1.0,1,0.492353
-1.0,1,0.49277
-0.99,2,0.493688
-1.0,1,0.494117
-1.0,1,0.494534
-1.0,1,0.494949
-0.99,2,0.495762
-1.0,1,0.496168
-1.0,1,0.496598
-1.0,1,0.497013
-1.0,1,0.497427
-1.0,1,0.497866
-1.0,1,0.498313
-1.0,1,0.498728
-1.0,1,0.499139
-0.99,2,0.499949
-1.0,1,0.500365
-1.0,1,0.501146
-1.0,1,0.501789
-0.99,2,0.502771
-1.0,1,0.503355
-1.0,1,0.50382
-1.0,1,0.504252
-1.0,1,0.504681
-1.0,1,0.505132
-1.0,1,0.505545
-1.0,1,0.505981
-1.0,1,0.506452
-1.0,1,0.506885
-1.0,1,0.507328
-1.0,1,0.507746
-1.0,1,0.508169
-1.0,1,0.508632
-1.0,1,0.509162
-0.99,2,0.510052
-1.0,1,0.510527
-1.0,1,0.510965
-1.0,1,0.511401
-1.0,1,0.511853
-1.0,1,0.512285
-1.0,1,0.512699
-1.0,1,0.513201
-1.0,1,0.513697
-1.0,1,0.51413
-1.0,1,0.514567
-1.0,1,0.514995
-1.0,1,0.515578
-1.0,1,0.516205
-1.0,1,0.516759
-1.0,1,0.517256
-1.0,1,0.517737
-1.0,1,0.518205
-1.0,1,0.518674
-1.0,1,0.519107
-1.0,1,0.519541
-1.0,1,0.519975
-1.0,1,0.520401
-1.0,1,0.520819
-1.0,1,0.521267
-1.0,1,0.521699
-1.0,1,0.522129
-1.0,1,0.52256
-1.0,1,0.522981
-1.0,1,0.52364
-1.0,1,0.524118
-1.0,1,0.524557
-1.0,1,0.52498
-1.0,1,0.525399
-1.0,1,0.525841
-1.0,1,0.526262
-1.0,1,0.526835
-0.99,2,0.527733
-0.99,2,0.528569
-1.0,1,0.528983
-0.99,2,0.529822
-1.0,1,0.530285
-1.0,1,0.530706
-1.0,1,0.531132
-1.0,1,0.531552
-1.0,1,0.531971
-1.0,1,0.532378
-1.0,1,0.532802
-1.0,1,0.533304
-1.0,1,0.533772
-0.99,2,0.534657
-1.0,1,0.53512
-1.0,1,0.535554
-1.0,1,0.535981
-1.0,1,0.536391
-1.0,1,0.53681
-1.0,1,0.537227
-1.0,1,0.537643
-1.0,1,0.538067
-1.0,1,0.53848
-1.0,1,0.53891
-1.0,1,0.539347
-1.0,1,0.539767
-1.0,1,0.540193
-0.99,2,0.54102
-1.0,1,0.541436
-1.0,1,0.54185
-0.99,2,0.542662
-1.0,1,0.543103
-1.0,1,0.543531
-1.0,1,0.543959
-1.0,1,0.544371
-0.99,2,0.545184
-1.0,1,0.545599
-1.0,1,0.546018
-1.0,1,0.546444
-0.99,2,0.547281
-0.98,3,0.548516
-1.0,1,0.548931
-1.0,1,0.549351
-1.0,1,0.549767
-0.99,2,0.550589
-1.0,1,0.551005
-0.99,2,0.551843
-1.0,1,0.552286
-1.0,1,0.552712
-0.99,2,0.553518
-1.0,1,0.553932
-1.0,1,0.554347
-1.0,1,0.554762
-1.0,1,0.555183
-1.0,1,0.555618
-0.99,2,0.556468
-1.0,1,0.556885
-0.99,2,0.557693
-1.0,1,0.558125
-0.99,2,0.558934
-1.0,1,0.559349
-0.98,3,0.560578
-1.0,1,0.560996
-1.0,1,0.56141
