#{"t_start": 1772938840.3158221, "env_id": "None"}
r,l,t
-10.0,1,0.468973
-10.0,1,0.469632
-10.0,1,0.470137
-10.0,1,0.47061
-10.0,1,0.471244
-10.0,1,0.471797
-10.0,1,0.47233
-10.0,1,0.472895
-9.99,2,0.47402
-10.0,1,0.474579
-10.0,1,0.475061
-10.0,1,0.475514
-10.0,1,0.475979
-10.0,1,0.47643
-10.0,1,0.476863
-10.0,1,0.477298
-10.0,1,0.477727
-10.0,1,0.478182
-10.0,1,0.478634
-10.0,1,0.479106
-9.99,2,0.479946
-10.0,1,0.480386
-10.0,1,0.480814
-10.0,1,0.481231
-10.0,1,0.481659
-10.0,1,0.482107
-10.0,1,0.482976
-10.0,1,0.483563
-10.0,1,0.484093
-10.0,1,0.484567
-10.0,1,0.485007
-10.0,1,0.485453
-10.0,1,0.485892
-10.0,1,0.486328
-10.0,1,0.486771
-10.0,1,0.487199
-10.0,1,0.487645
-10.0,1,0.488066
-10.0,1,0.48851
-10.0,1,0.48894
-9.98,3,0.490198
-10.0,1,0.490641
-10.0,1,0.491071
-10.0,1,0.491495
-10.0,1,0.49192
-10.0,1,0.492546
-10.0,1,0.493102
-10.0,1,0.493564
-10.0,1,0.494009
-10.0,1,0.494462
-10.0,1,0.494897
-9.99,2,0.495875
-10.0,1,0.496418
-10.0,1,0.496944
-10.0,1,0.497475
-10.0,1,0.497936
-10.0,1,0.498363
-10.0,1,0.4988
-10.0,1,0.499228
-10.0,1,0.499649
-10.0,1,0.500072
-10.0,1,0.500519
-10.0,1,0.500941
-10.0,1,0.501358
-10.0,1,0.501779
-10.0,1,0.502301
-10.0,1,0.502841
-10.0,1,0.503285
-9.99,2,0.504493
-9.99,2,0.505431
-10.0,1,0.505885
-10.0,1,0.506331
-10.0,1,0.506769
-10.0,1,0.507234
-10.0,1,0.507659
-10.0,1,0.508088
-10.0,1,0.508515
-10.0,1,0.508939
-10.0,1,0.509355
-10.0,1,0.509779
-9.99,2,0.510631
-10.0,1,0.511064
-10.0,1,0.511525
-10.0,1,0.511972
-10.0,1,0.512542
-10.0,1,0.513031
-10.0,1,0.513468
-10.0,1,0.513904
-10.0,1,0.514321
-10.0,1,0.514746
-10.0,1,0.515175
-10.0,1,0.515689
-10.0,1,0.51621
-10.0,1,0.516706
-10.0,1,0.517175
-10.0,1,0.51762
-10.0,1,0.518062
-10.0,1,0.518511
-10.0,1,0.518948
-10.0,1,0.519383
-10.0,1,0.519809
-10.0,1,0.520247
-10.0,1,0.520713
-10.0,1,0.521144
-10.0,1,0.521568
-10.0,1,0.521999
-10.0,1,0.522431
-10.0,1,0.522851
-10.0,1,0.523286
-10.0,1,0.523821
-10.0,1,0.524301
-9.99,2,0.525223
-10.0,1,0.525677
-10.0,1,0.526102
-10.0,1,0.526546
-9.99,2,0.527392
-10.0,1,0.527817
-10.0,1,0.528238
-10.0,1,0.528662
-10.0,1,0.529093
-10.0,1,0.529545
-10.0,1,0.529968
-10.0,1,0.53039
-10.0,1,0.530807
-9.99,2,0.531635
-10.0,1,0.532073
-10.0,1,0.532491
-10.0,1,0.532903
-9.99,2,0.53376
-10.0,1,0.534182
-10.0,1,0.5346
-10.0,1,0.535018
-10.0,1,0.535432
-10.0,1,0.535847
-10.0,1,0.536275
-10.0,1,0.536688
-10.0,1,0.537123
-10.0,1,0.53757
-10.0,1,0.538008
-10.0,1,0.538423
-10.0,1,0.538837
-10.0,1,0.539258
-10.0,1,0.539674
-9.99,2,0.540515
-10.0,1,0.540937
-10.0,1,0.541361
-10.0,1,0.541794
-10.0,1,0.542227
-10.0,1,0.542643
-10.0,1,0.543064
-10.0,1,0.543478
-10.0,1,0.543896
-10.0,1,0.544317
-10.0,1,0.544748
-10.0,1,0.545163
-10.0,1,0.545602
-10.0,1,0.546045
-10.0,1,0.546477
-10.0,1,0.546897
-10.0,1,0.547314
-10.0,1,0.547728
-10.0,1,0.548146
-10.0,1,0.548572
-10.0,1,0.549003
-10.0,1,0.549418
-10.0,1,0.549831
-10.0,1,0.550244
-10.0,1,0.550675
-10.0,1,0.551089
-10.0,1,0.551503
-10.0,1,0.551922
-10.0,1,0.55235
-10.0,1,0.552781
-10.0,1,0.553195
-10.0,1,0.55362
-10.0,1,0.554058
-10.0,1,0.554476
-10.0,1,0.554912
-10.0,1,0.555329
-10.0,1,0.555746
-9.99,2,0.556571
-9.99,2,0.557421
-10.0,1,0.557847
-9.99,2,0.558691
-10.0,1,0.559138
-10.0,1,0.559554
-10.0,1,0.559971
-10.0,1,0.56039
-10.0,1,0.560807
-10.0,1,0.56122
-10.0,1,0.56164
-10.0,1,0.562054
-10.0,1,0.562471
-9.99,2,0.563305
-10.0,1,0.563725
-10.0,1,0.564139
-10.0,1,0.564553
-10.0,1,0.564971
-10.0,1,0.565385
-10.0,1,0.565798
-10.0,1,0.566215
-10.0,1,0.566807
-10.0,1,0.567242
-10.0,1,0.567684
-10.0,1,0.568106
-10.0,1,0.568526
-10.0,1,0.568936
-9.99,2,0.569774
-10.0,1,0.570209
-10.0,1,0.570635
-9.99,2,0.571458
-10.0,1,0.571904
-10.0,1,0.572356
-10.0,1,0.572772
-10.0,1,0.573188
-9.99,2,0.574002
-10.0,1,0.574425
-10.0,1,0.574863
-10.0,1,0.5753
-9.99,2,0.576148
-9.98,3,0.577685
-10.0,1,0.578154
-10.0,1,0.578592
-10.0,1,0.57917
-9.99,2,0.580116
-10.0,1,0.580629
-9.99,2,0.581485
-10.0,1,0.581908
-10.0,1,0.582328
-9.99,2,0.583141
-10.0,1,0.58355
-10.0,1,0.583956
-10.0,1,0.584364
-10.0,1,0.584773
-10.0,1,0.585206
-9.99,2,0.586012
-10.0,1,0.586466
-9.99,2,0.587712
-10.0,1,0.588239
-9.99,2,0.589195
-10.0,1,0.589622
-9.98,3,0.590843
-10.0,1,0.591264
-10.0,1,0.591678
-10.0,1,0.592084
-10.0,1,0.5925
-9.99,2,0.593296
-10.0,1,0.59371
-10.0,1,0.594139
-10.0,1,0.59455
-10.0,1,0.59497
-10.0,1,0.595386
-10.0,1,0.595802
-10.0,1,0.596214
-10.0,1,0.596845
-10.0,1,0.597406
-10.0,1,0.597832
-10.0,1,0.598245
-10.0,1,0.598688
-10.0,1,0.599123
-10.0,1,0.599542
-10.0,1,0.599954
-10.0,1,0.600358
-10.0,1,0.600771
-10.0,1,0.601182
-9.99,2,0.601985
-10.0,1,0.602404
-9.99,2,0.603232
-10.0,1,0.603643
-9.99,2,0.604453
-10.0,1,0.604868
-10.0,1,0.605281
-10.0,1,0.605696
-10.0,1,0.606107
-10.0,1,0.606656
-10.0,1,0.607455
-10.0,1,0.608008
-10.0,1,0.608504
-10.0,1,0.608954
-10.0,1,0.609389
-10.0,1,0.609817
-10.0,1,0.610261
-10.0,1,0.610682
-10.0,1,0.611106
-10.0,1,0.611619
-10.0,1,0.612079
-10.0,1,0.612499
-10.0,1,0.612907
-10.0,1,0.613323
-10.0,1,0.614989
-10.0,1,0.616259
-10.0,1,0.616768
-10.0,1,0.617221
-10.0,1,0.618422
-10.0,1,0.619147
-9.99,2,0.620183
-10.0,1,0.62065
-10.0,1,0.621143
-10.0,1,0.62159
-10.0,1,0.62203
-10.0,1,0.622487
-10.0,1,0.622934
-10.0,1,0.623363
-10.0,1,0.623794
-10.0,1,0.624262
-10.0,1,0.624704
-10.0,1,0.625132
-10.0,1,0.625565
-10.0,1,0.62601
-10.0,1,0.626645
-10.0,1,0.627135
-10.0,1,0.627933
-10.0,1,0.62857
-10.0,1,0.629073
-10.0,1,0.62969
-10.0,1,0.630196
-10.0,1,0.630847
-10.0,1,0.631328
-10.0,1,0.631779
-10.0,1,0.632214
-10.0,1,0.632642
-9.99,2,0.633483
-9.99,2,0.634671
-9.99,2,0.635573
-10.0,1,0.636012
-10.0,1,0.636441
-10.0,1,0.636892
-10.0,1,0.637323
-9.99,2,0.638448
-10.0,1,0.639029
-10.0,1,0.639573
-10.0,1,0.640044
-10.0,1,0.640483
-10.0,1,0.640918
-10.0,1,0.641347
-10.0,1,0.64177
-10.0,1,0.642202
-10.0,1,0.642641
-10.0,1,0.643101
-10.0,1,0.643556
-10.0,1,0.644032
-10.0,1,0.644453
-10.0,1,0.644882
-10.0,1,0.645307
-10.0,1,0.645746
-9.99,2,0.646595
-10.0,1,0.647027
