#{"t_start": 1772926138.488545, "env_id": "None"}
r,l,t
-10.0,1,0.859778
-10.0,1,0.860794
-10.0,1,0.861416
-10.0,1,0.861916
-10.0,1,0.862401
-10.0,1,0.862888
-10.0,1,0.863512
-10.0,1,0.864106
-9.99,2,0.865672
-10.0,1,0.866322
-10.0,1,0.866863
-10.0,1,0.86739
-10.0,1,0.867899
-10.0,1,0.868379
-10.0,1,0.868841
-10.0,1,0.869322
-10.0,1,0.869792
-10.0,1,0.870253
-10.0,1,0.870721
-10.0,1,0.871217
-9.99,2,0.872288
-10.0,1,0.87282
-10.0,1,0.873329
-10.0,1,0.873826
-10.0,1,0.874323
-10.0,1,0.874795
-10.0,1,0.87527
-10.0,1,0.875759
-10.0,1,0.876236
-10.0,1,0.876701
-10.0,1,0.877152
-10.0,1,0.877603
-10.0,1,0.878099
-10.0,1,0.878684
-10.0,1,0.879261
-10.0,1,0.879919
-10.0,1,0.880733
-10.0,1,0.881302
-10.0,1,0.881829
-10.0,1,0.882319
-9.98,3,0.883698
-10.0,1,0.884179
-10.0,1,0.884653
-10.0,1,0.88511
-10.0,1,0.885555
-10.0,1,0.886002
-10.0,1,0.88647
-10.0,1,0.886916
-10.0,1,0.887367
-10.0,1,0.887814
-10.0,1,0.888259
-9.99,2,0.889121
-10.0,1,0.889567
-10.0,1,0.890013
-10.0,1,0.890455
-10.0,1,0.890913
-10.0,1,0.891353
-10.0,1,0.891782
-10.0,1,0.892234
-10.0,1,0.892671
-10.0,1,0.893108
-10.0,1,0.893555
-10.0,1,0.893986
-10.0,1,0.894436
-10.0,1,0.894901
-10.0,1,0.895363
-10.0,1,0.895804
-10.0,1,0.896256
-9.99,2,0.897128
-9.99,2,0.89799
-10.0,1,0.898803
-10.0,1,0.899435
-10.0,1,0.899881
-10.0,1,0.900338
-10.0,1,0.900774
-10.0,1,0.901218
-10.0,1,0.901655
-10.0,1,0.902093
-10.0,1,0.902541
-10.0,1,0.902984
-9.99,2,0.903855
-10.0,1,0.904329
-10.0,1,0.904793
-10.0,1,0.905231
-10.0,1,0.905667
-10.0,1,0.906102
-10.0,1,0.906528
-10.0,1,0.906964
-10.0,1,0.907398
-10.0,1,0.907832
-10.0,1,0.908541
-10.0,1,0.909123
-10.0,1,0.90967
-10.0,1,0.910152
-10.0,1,0.91061
-10.0,1,0.911055
-10.0,1,0.911502
-10.0,1,0.911959
-10.0,1,0.9124
-10.0,1,0.912869
-10.0,1,0.913317
-10.0,1,0.913767
-10.0,1,0.91422
-10.0,1,0.914665
-10.0,1,0.915112
-10.0,1,0.915553
-10.0,1,0.915999
-10.0,1,0.916443
-10.0,1,0.916903
-10.0,1,0.91736
-10.0,1,0.917802
-9.99,2,0.918945
-10.0,1,0.919518
-10.0,1,0.920094
-10.0,1,0.920581
-9.99,2,0.921504
-10.0,1,0.921977
-10.0,1,0.922426
-10.0,1,0.922875
-10.0,1,0.923327
-10.0,1,0.923799
-10.0,1,0.924242
-10.0,1,0.924689
-10.0,1,0.925144
-9.99,2,0.926021
-10.0,1,0.926467
-10.0,1,0.926915
-10.0,1,0.927358
-9.99,2,0.928242
-10.0,1,0.928691
-10.0,1,0.929135
-10.0,1,0.929577
-10.0,1,0.930029
-10.0,1,0.930476
-10.0,1,0.930934
-10.0,1,0.931395
-10.0,1,0.931863
-10.0,1,0.932485
-10.0,1,0.932955
-10.0,1,0.933416
-10.0,1,0.933874
-10.0,1,0.934325
-10.0,1,0.934787
-9.99,2,0.935658
-10.0,1,0.936113
-10.0,1,0.936553
-10.0,1,0.937003
-10.0,1,0.93746
-10.0,1,0.937905
-10.0,1,0.938351
