#{"t_start": 1772940470.289312, "env_id": "None"}
r,l,t
-10.0,1,0.47026
-10.0,1,0.47094
-10.0,1,0.471453
-10.0,1,0.471924
-10.0,1,0.472384
-10.0,1,0.472838
-10.0,1,0.473285
-10.0,1,0.47372
-9.99,2,0.474638
-10.0,1,0.475103
-10.0,1,0.475544
-10.0,1,0.47599
-10.0,1,0.476629
-10.0,1,0.477153
-10.0,1,0.477648
-10.0,1,0.47812
-10.0,1,0.478573
-10.0,1,0.479015
-10.0,1,0.479451
-10.0,1,0.479921
-9.99,2,0.480791
-10.0,1,0.481226
-10.0,1,0.48165
-10.0,1,0.482079
-10.0,1,0.482516
-10.0,1,0.482948
-10.0,1,0.483376
-10.0,1,0.483801
-10.0,1,0.484256
-10.0,1,0.484741
-10.0,1,0.48518
-10.0,1,0.485634
-10.0,1,0.486061
-10.0,1,0.486488
-10.0,1,0.486911
-10.0,1,0.487332
-10.0,1,0.487753
-10.0,1,0.488174
-10.0,1,0.488611
-10.0,1,0.489031
-9.98,3,0.490294
-10.0,1,0.490717
-10.0,1,0.491137
-10.0,1,0.491556
-10.0,1,0.491976
-10.0,1,0.492884
-10.0,1,0.493484
-10.0,1,0.493968
-10.0,1,0.494428
-10.0,1,0.494879
-10.0,1,0.49532
-9.99,2,0.496184
-10.0,1,0.496636
-10.0,1,0.497098
-10.0,1,0.497531
-10.0,1,0.498006
-10.0,1,0.498451
-10.0,1,0.498878
-10.0,1,0.499305
-10.0,1,0.499729
-10.0,1,0.500156
-10.0,1,0.500582
-10.0,1,0.501014
-10.0,1,0.501441
-10.0,1,0.50188
-10.0,1,0.502546
-10.0,1,0.503141
-10.0,1,0.50364
-9.99,2,0.50457
-9.99,2,0.505452
-10.0,1,0.5059
-10.0,1,0.50636
-10.0,1,0.506782
-10.0,1,0.507237
-10.0,1,0.507676
-10.0,1,0.508107
-10.0,1,0.508535
-10.0,1,0.508967
-10.0,1,0.50939
-10.0,1,0.509818
-9.99,2,0.510683
-10.0,1,0.511118
-10.0,1,0.511562
-10.0,1,0.511992
-10.0,1,0.512435
-10.0,1,0.512857
-10.0,1,0.513282
-10.0,1,0.513704
-10.0,1,0.51413
-10.0,1,0.514569
-10.0,1,0.514997
-10.0,1,0.515415
-10.0,1,0.515851
-10.0,1,0.516275
-10.0,1,0.5167
-10.0,1,0.517118
-10.0,1,0.517545
-10.0,1,0.518019
-10.0,1,0.518442
-10.0,1,0.518881
-10.0,1,0.519337
-10.0,1,0.519762
-10.0,1,0.520204
-10.0,1,0.520653
-10.0,1,0.521076
-10.0,1,0.521498
-10.0,1,0.521918
-10.0,1,0.522344
-10.0,1,0.52277
-10.0,1,0.523202
-10.0,1,0.523624
-9.99,2,0.524481
-10.0,1,0.524922
-10.0,1,0.52535
-10.0,1,0.525913
-9.99,2,0.526808
-10.0,1,0.527256
-10.0,1,0.527707
-10.0,1,0.528132
-10.0,1,0.528561
-10.0,1,0.529019
-10.0,1,0.529448
-10.0,1,0.529871
-10.0,1,0.530294
-9.99,2,0.531225
-10.0,1,0.531764
-10.0,1,0.532203
-10.0,1,0.532628
-9.99,2,0.533491
-10.0,1,0.533912
-10.0,1,0.534337
-10.0,1,0.534786
-10.0,1,0.535203
-10.0,1,0.535692
-10.0,1,0.536204
-10.0,1,0.536658
-10.0,1,0.537092
-10.0,1,0.53752
-10.0,1,0.537961
-10.0,1,0.538391
-10.0,1,0.538816
-10.0,1,0.53925
-10.0,1,0.539667
-9.99,2,0.540486
-10.0,1,0.540898
-10.0,1,0.541324
-10.0,1,0.541746
-10.0,1,0.542189
-10.0,1,0.542613
-10.0,1,0.543048
-10.0,1,0.543525
-10.0,1,0.543953
-10.0,1,0.544397
-10.0,1,0.544828
-10.0,1,0.545244
-10.0,1,0.545673
-10.0,1,0.546105
-10.0,1,0.546545
-10.0,1,0.546964
-10.0,1,0.54739
-10.0,1,0.547851
-10.0,1,0.548316
-10.0,1,0.548795
-10.0,1,0.549272
-10.0,1,0.549737
-10.0,1,0.550159
-10.0,1,0.550582
-10.0,1,0.551045
-10.0,1,0.551472
-10.0,1,0.551891
-10.0,1,0.552326
-10.0,1,0.552752
-10.0,1,0.553174
-10.0,1,0.553597
-10.0,1,0.554015
-10.0,1,0.554439
-10.0,1,0.554855
-10.0,1,0.555289
-10.0,1,0.555705
-10.0,1,0.556138
-9.99,2,0.556984
-9.99,2,0.557815
-10.0,1,0.558242
-9.99,2,0.55907
-10.0,1,0.55951
-10.0,1,0.559935
-10.0,1,0.560354
-10.0,1,0.560793
-10.0,1,0.561213
-10.0,1,0.561631
-10.0,1,0.562052
-10.0,1,0.562467
-10.0,1,0.56289
-9.99,2,0.563746
-10.0,1,0.564186
-10.0,1,0.564616
-10.0,1,0.565035
-10.0,1,0.565462
-10.0,1,0.565885
-10.0,1,0.566302
-10.0,1,0.566726
-10.0,1,0.567147
-10.0,1,0.567565
-10.0,1,0.568014
-10.0,1,0.568449
-10.0,1,0.568874
-10.0,1,0.569326
-9.99,2,0.570151
-10.0,1,0.57057
-10.0,1,0.570989
-9.99,2,0.571809
-10.0,1,0.572246
-10.0,1,0.572676
-10.0,1,0.573106
-10.0,1,0.573526
-9.99,2,0.574346
-10.0,1,0.574767
-10.0,1,0.575191
-10.0,1,0.575609
-9.99,2,0.576448
-9.98,3,0.577723
-10.0,1,0.578155
-10.0,1,0.578576
-10.0,1,0.578992
-9.99,2,0.579829
-10.0,1,0.58025
-9.99,2,0.581116
-10.0,1,0.581541
-10.0,1,0.581957
-9.99,2,0.582772
-10.0,1,0.583189
-10.0,1,0.583607
-10.0,1,0.584029
-10.0,1,0.584513
-10.0,1,0.585057
-9.99,2,0.585898
-10.0,1,0.586339
-9.99,2,0.587159
-10.0,1,0.587596
-9.99,2,0.588415
-10.0,1,0.588834
-9.98,3,0.590071
-10.0,1,0.590495
-10.0,1,0.590915
-10.0,1,0.591328
-10.0,1,0.591745
-9.99,2,0.592773
-10.0,1,0.593234
-10.0,1,0.593693
-10.0,1,0.594114
-10.0,1,0.594613
-10.0,1,0.595166
-10.0,1,0.59563
-10.0,1,0.59607
-10.0,1,0.596496
-10.0,1,0.596919
-10.0,1,0.597352
-10.0,1,0.597777
-10.0,1,0.598227
-10.0,1,0.598651
-10.0,1,0.599071
-10.0,1,0.599489
-10.0,1,0.599897
-10.0,1,0.600356
-10.0,1,0.600826
-9.99,2,0.60169
-10.0,1,0.602135
-9.99,2,0.602987
-10.0,1,0.603414
-9.99,2,0.604238
-10.0,1,0.604668
-10.0,1,0.605091
-10.0,1,0.605535
-10.0,1,0.605968
-10.0,1,0.606403
-10.0,1,0.606839
-10.0,1,0.607254
-10.0,1,0.607666
-10.0,1,0.608079
-10.0,1,0.608494
-10.0,1,0.60891
-10.0,1,0.609336
-10.0,1,0.609764
-10.0,1,0.610187
-10.0,1,0.610634
-10.0,1,0.611079
-10.0,1,0.611506
