#{"t_start": 1772937896.3894348, "env_id": "None"}
r,l,t
-10.0,1,0.445013
-10.0,1,0.445647
-10.0,1,0.44617
-10.0,1,0.446646
-10.0,1,0.447103
-10.0,1,0.447547
-10.0,1,0.447982
-10.0,1,0.448409
-9.99,2,0.449307
-10.0,1,0.44977
-10.0,1,0.450206
-10.0,1,0.450636
-10.0,1,0.451063
-10.0,1,0.451516
-10.0,1,0.451956
-10.0,1,0.452374
-10.0,1,0.452791
-10.0,1,0.453206
-10.0,1,0.453625
-10.0,1,0.454078
-9.99,2,0.454909
-10.0,1,0.45533
-10.0,1,0.455747
-10.0,1,0.456162
-10.0,1,0.456581
-10.0,1,0.456997
-10.0,1,0.45741
-10.0,1,0.457824
-10.0,1,0.458263
-10.0,1,0.458689
-10.0,1,0.459109
-10.0,1,0.459532
-10.0,1,0.459957
-10.0,1,0.460369
-10.0,1,0.460778
-10.0,1,0.461186
-10.0,1,0.461596
-10.0,1,0.462005
-10.0,1,0.46244
-10.0,1,0.462864
-9.98,3,0.464139
-10.0,1,0.464545
-10.0,1,0.464958
-10.0,1,0.46537
-10.0,1,0.465782
-10.0,1,0.466191
-10.0,1,0.466617
-10.0,1,0.467028
-10.0,1,0.467444
-10.0,1,0.467872
-10.0,1,0.468284
-9.99,2,0.469085
-10.0,1,0.469502
-10.0,1,0.469917
-10.0,1,0.470328
-10.0,1,0.470755
-10.0,1,0.47117
-10.0,1,0.471581
-10.0,1,0.471989
-10.0,1,0.472396
-10.0,1,0.472805
-10.0,1,0.473214
-10.0,1,0.473625
-10.0,1,0.474034
-10.0,1,0.474442
-10.0,1,0.474869
-10.0,1,0.475282
-10.0,1,0.475701
-9.99,2,0.476541
-9.99,2,0.477346
-10.0,1,0.477757
-10.0,1,0.478167
-10.0,1,0.478577
-10.0,1,0.478993
-10.0,1,0.479429
-10.0,1,0.47984
-10.0,1,0.480247
-10.0,1,0.480658
-10.0,1,0.481096
-10.0,1,0.481502
-9.99,2,0.482305
-10.0,1,0.482714
-10.0,1,0.483138
