#{"t_start": 1772940825.0283918, "env_id": "None"}
r,l,t
-10.0,1,0.474852
-10.0,1,0.475522
-10.0,1,0.47607
-10.0,1,0.476674
-10.0,1,0.477222
-10.0,1,0.477795
-10.0,1,0.478558
-10.0,1,0.47908
-9.99,2,0.480049
-10.0,1,0.480542
-10.0,1,0.481002
-10.0,1,0.481454
-10.0,1,0.481894
-10.0,1,0.482328
-10.0,1,0.482762
-10.0,1,0.483194
-10.0,1,0.483621
-10.0,1,0.484056
-10.0,1,0.484506
-10.0,1,0.484952
-9.99,2,0.48579
-10.0,1,0.486294
-10.0,1,0.487035
-10.0,1,0.487657
-10.0,1,0.48821
-10.0,1,0.488716
-10.0,1,0.489178
-10.0,1,0.489621
-10.0,1,0.490091
-10.0,1,0.490537
-10.0,1,0.490962
-10.0,1,0.491391
-10.0,1,0.491815
-10.0,1,0.492238
-10.0,1,0.492685
-10.0,1,0.493199
-10.0,1,0.493697
-10.0,1,0.494394
-10.0,1,0.494945
-10.0,1,0.495436
-9.98,3,0.496968
-10.0,1,0.497477
-10.0,1,0.497955
-10.0,1,0.498405
-10.0,1,0.498849
-10.0,1,0.499293
-10.0,1,0.499746
-10.0,1,0.500185
-10.0,1,0.500634
-10.0,1,0.501084
-10.0,1,0.501612
-9.99,2,0.502711
-10.0,1,0.503286
-10.0,1,0.503771
-10.0,1,0.504255
-10.0,1,0.504725
-10.0,1,0.505178
-10.0,1,0.505629
-10.0,1,0.506056
-10.0,1,0.506487
-10.0,1,0.506913
-10.0,1,0.507351
-10.0,1,0.507773
-10.0,1,0.508194
-10.0,1,0.508617
-10.0,1,0.509068
-10.0,1,0.509538
-10.0,1,0.510019
-9.99,2,0.511037
-9.99,2,0.511899
-10.0,1,0.512347
-10.0,1,0.512812
-10.0,1,0.513254
-10.0,1,0.513723
-10.0,1,0.51415
-10.0,1,0.514584
-10.0,1,0.515007
-10.0,1,0.515429
-10.0,1,0.515848
-10.0,1,0.516264
-9.99,2,0.517079
-10.0,1,0.517523
-10.0,1,0.517971
-10.0,1,0.518391
-10.0,1,0.518808
-10.0,1,0.51923
-10.0,1,0.519796
-10.0,1,0.520339
-10.0,1,0.520799
-10.0,1,0.52126
-10.0,1,0.521805
-10.0,1,0.522235
-10.0,1,0.52267
-10.0,1,0.523082
-10.0,1,0.523502
-10.0,1,0.523916
-10.0,1,0.52433
-10.0,1,0.52475
-10.0,1,0.52517
-10.0,1,0.525599
-10.0,1,0.526012
-10.0,1,0.526441
-10.0,1,0.52688
-10.0,1,0.527306
-10.0,1,0.52773
-10.0,1,0.528165
-10.0,1,0.52858
-10.0,1,0.528998
-10.0,1,0.529416
-10.0,1,0.530097
-10.0,1,0.530631
-9.99,2,0.531585
-10.0,1,0.532034
-10.0,1,0.532475
-10.0,1,0.532913
-9.99,2,0.533783
