#{"t_start": 1772927121.277498, "env_id": "None"}
r,l,t
-10.0,1,0.471034
-10.0,1,0.471731
-10.0,1,0.472279
-10.0,1,0.472778
-10.0,1,0.473266
-10.0,1,0.473745
-10.0,1,0.474221
-10.0,1,0.474686
-9.99,2,0.475732
-10.0,1,0.476266
-10.0,1,0.47675
-10.0,1,0.477228
-10.0,1,0.477712
-10.0,1,0.478589
-10.0,1,0.479214
-10.0,1,0.479731
-10.0,1,0.480229
-10.0,1,0.480702
-10.0,1,0.48117
-10.0,1,0.481667
-9.99,2,0.482592
-10.0,1,0.483051
-10.0,1,0.483538
-10.0,1,0.484004
-10.0,1,0.484472
-10.0,1,0.484929
-10.0,1,0.485384
-10.0,1,0.485845
-10.0,1,0.486312
-10.0,1,0.486785
-10.0,1,0.487276
-10.0,1,0.487744
-10.0,1,0.48857
-10.0,1,0.489262
-10.0,1,0.489838
-10.0,1,0.490339
-10.0,1,0.490815
-10.0,1,0.491274
-10.0,1,0.491752
-10.0,1,0.492208
-9.98,3,0.493523
-10.0,1,0.493976
-10.0,1,0.494463
-10.0,1,0.495117
-10.0,1,0.4975
-10.0,1,0.500691
-10.0,1,0.50142
-10.0,1,0.503009
-10.0,1,0.505562
-10.0,1,0.507844
-10.0,1,0.510666
-9.99,2,0.51739
-10.0,1,0.51802
-10.0,1,0.518627
-10.0,1,0.519257
-10.0,1,0.522531
-10.0,1,0.524155
-10.0,1,0.526823
-10.0,1,0.527541
-10.0,1,0.532793
-10.0,1,0.533604
-10.0,1,0.534462
-10.0,1,0.535039
-10.0,1,0.53555
-10.0,1,0.536281
-10.0,1,0.536887
-10.0,1,0.53737
-10.0,1,0.537838
-9.99,2,0.539178
-9.99,2,0.540543
-10.0,1,0.541034
-10.0,1,0.541565
-10.0,1,0.542037
-10.0,1,0.542527
-10.0,1,0.542999
-10.0,1,0.543471
-10.0,1,0.543935
-10.0,1,0.544405
-10.0,1,0.54486
-10.0,1,0.545307
-9.99,2,0.546184
-10.0,1,0.54663
-10.0,1,0.547092
-10.0,1,0.547535
-10.0,1,0.547976
-10.0,1,0.548667
-10.0,1,0.54915
-10.0,1,0.549615
-10.0,1,0.55008
-10.0,1,0.550563
-10.0,1,0.551053
-10.0,1,0.551523
-10.0,1,0.552005
-10.0,1,0.55246
-10.0,1,0.554923
-10.0,1,0.555663
-10.0,1,0.556233
-10.0,1,0.556761
-10.0,1,0.557272
-10.0,1,0.557773
-10.0,1,0.55827
-10.0,1,0.558764
-10.0,1,0.559698
-10.0,1,0.560605
-10.0,1,0.561118
-10.0,1,0.561627
-10.0,1,0.562112
-10.0,1,0.562601
-10.0,1,0.563064
-10.0,1,0.563545
-10.0,1,0.564017
-9.99,2,0.564984
-10.0,1,0.56545
-10.0,1,0.565924
-10.0,1,0.566392
-9.99,2,0.567311
-10.0,1,0.567785
-10.0,1,0.568254
-10.0,1,0.568741
-10.0,1,0.569198
-10.0,1,0.570127
-10.0,1,0.57079
