#{"t_start": 1772927704.8002481, "env_id": "None"}
r,l,t
-10.0,1,0.467801
-10.0,1,0.468701
-10.0,1,0.469255
-10.0,1,0.469766
-10.0,1,0.470261
-10.0,1,0.470751
-10.0,1,0.471226
-10.0,1,0.471698
-9.99,2,0.472687
-10.0,1,0.473192
-10.0,1,0.473655
-10.0,1,0.474113
-10.0,1,0.474559
-10.0,1,0.475011
-10.0,1,0.47545
-10.0,1,0.4759
-10.0,1,0.476539
-10.0,1,0.477194
-10.0,1,0.477774
-10.0,1,0.478335
-9.99,2,0.479299
-10.0,1,0.479776
-10.0,1,0.480239
-10.0,1,0.4808
-10.0,1,0.481326
-10.0,1,0.481864
-10.0,1,0.482429
-10.0,1,0.482988
-10.0,1,0.483608
-10.0,1,0.484322
-10.0,1,0.485055
-10.0,1,0.485602
-10.0,1,0.486114
-10.0,1,0.486792
-10.0,1,0.487323
-10.0,1,0.487805
-10.0,1,0.488277
-10.0,1,0.488806
-10.0,1,0.489403
-10.0,1,0.489928
-9.98,3,0.491298
-10.0,1,0.49182
-10.0,1,0.492324
-10.0,1,0.492811
-10.0,1,0.493264
-10.0,1,0.493731
-10.0,1,0.49422
-10.0,1,0.494676
-10.0,1,0.495128
-10.0,1,0.495586
-10.0,1,0.496042
-9.99,2,0.496966
-10.0,1,0.497473
-10.0,1,0.497941
-10.0,1,0.498396
-10.0,1,0.498875
-10.0,1,0.499327
-10.0,1,0.499845
-10.0,1,0.500404
-10.0,1,0.500908
-10.0,1,0.501488
-10.0,1,0.502057
-10.0,1,0.502687
-10.0,1,0.503181
-10.0,1,0.503643
-10.0,1,0.504125
-10.0,1,0.504582
-10.0,1,0.505048
-9.99,2,0.505967
-9.99,2,0.506843
-10.0,1,0.507482
-10.0,1,0.508177
-10.0,1,0.50878
-10.0,1,0.509288
-10.0,1,0.509771
-10.0,1,0.510253
-10.0,1,0.510705
-10.0,1,0.511161
-10.0,1,0.51163
-10.0,1,0.512077
-9.99,2,0.512967
-10.0,1,0.513411
-10.0,1,0.513908
-10.0,1,0.514379
-10.0,1,0.514847
-10.0,1,0.51538
-10.0,1,0.515917
-10.0,1,0.516469
-10.0,1,0.516977
-10.0,1,0.517439
-10.0,1,0.517892
-10.0,1,0.518364
-10.0,1,0.518839
-10.0,1,0.519294
-10.0,1,0.519739
-10.0,1,0.520195
-10.0,1,0.520636
-10.0,1,0.521089
-10.0,1,0.521535
-10.0,1,0.52203
-10.0,1,0.522538
-10.0,1,0.523048
-10.0,1,0.523624
-10.0,1,0.524161
-10.0,1,0.524628
-10.0,1,0.525071
-10.0,1,0.525532
-10.0,1,0.526073
-10.0,1,0.526596
-10.0,1,0.527101
-10.0,1,0.527568
-9.99,2,0.528547
-10.0,1,0.529006
-10.0,1,0.529454
-10.0,1,0.529898
-9.99,2,0.530851
-10.0,1,0.531353
-10.0,1,0.531908
-10.0,1,0.53246
-10.0,1,0.532918
-10.0,1,0.533397
-10.0,1,0.533847
-10.0,1,0.534296
-10.0,1,0.53474
-9.99,2,0.535617
-10.0,1,0.536252
-10.0,1,0.536786
-10.0,1,0.537269
-9.99,2,0.538253
-10.0,1,0.538724
-10.0,1,0.539246
-10.0,1,0.539742
-10.0,1,0.540259
-10.0,1,0.540785
-10.0,1,0.541231
-10.0,1,0.541673
-10.0,1,0.542107
-10.0,1,0.542548
-10.0,1,0.543011
-10.0,1,0.543451
-10.0,1,0.543891
-10.0,1,0.54433
-10.0,1,0.544771
-9.99,2,0.545655
-10.0,1,0.546388
-10.0,1,0.546965
-10.0,1,0.547471
-10.0,1,0.547962
-10.0,1,0.548436
-10.0,1,0.5489
-10.0,1,0.549343
-10.0,1,0.54979
-10.0,1,0.550245
-10.0,1,0.55069
-10.0,1,0.551142
-10.0,1,0.551654
-10.0,1,0.552151
-10.0,1,0.552662
-10.0,1,0.553128
-10.0,1,0.55361
-10.0,1,0.554057
-10.0,1,0.554515
-10.0,1,0.554966
-10.0,1,0.55545
-10.0,1,0.555935
-10.0,1,0.556428
-10.0,1,0.55692
-10.0,1,0.557437
-10.0,1,0.557919
-10.0,1,0.558451
-10.0,1,0.558923
-10.0,1,0.559375
-10.0,1,0.559832
-10.0,1,0.560301
-10.0,1,0.560753
-10.0,1,0.561202
-10.0,1,0.561661
-10.0,1,0.562182
-10.0,1,0.562699
-10.0,1,0.563255
-9.99,2,0.564263
-9.99,2,0.565157
-10.0,1,0.56561
-9.99,2,0.566487
-10.0,1,0.566977
-10.0,1,0.567492
-10.0,1,0.567963
-10.0,1,0.568474
-10.0,1,0.568943
-10.0,1,0.569381
-10.0,1,0.569837
-10.0,1,0.57028
-10.0,1,0.570724
-9.99,2,0.571627
-10.0,1,0.572086
-10.0,1,0.572557
-10.0,1,0.573029
-10.0,1,0.573509
-10.0,1,0.574111
-10.0,1,0.574563
-10.0,1,0.575023
-10.0,1,0.575485
-10.0,1,0.575932
-10.0,1,0.576386
-10.0,1,0.576825
-10.0,1,0.577413
-10.0,1,0.577973
-9.99,2,0.578904
-10.0,1,0.579367
-10.0,1,0.579824
-9.99,2,0.580713
-10.0,1,0.581185
-10.0,1,0.581667
-10.0,1,0.582152
-10.0,1,0.582652
-9.99,2,0.583696
-10.0,1,0.584235
-10.0,1,0.584782
-10.0,1,0.585326
-9.99,2,0.586295
-9.98,3,0.587611
-10.0,1,0.588067
-10.0,1,0.588525
-10.0,1,0.589039
-9.99,2,0.589985
-10.0,1,0.590472
-9.99,2,0.591548
-10.0,1,0.592015
-10.0,1,0.592466
-9.99,2,0.593307
-10.0,1,0.593744
-10.0,1,0.594174
-10.0,1,0.594605
-10.0,1,0.59505
-10.0,1,0.5955
-9.99,2,0.596359
-10.0,1,0.596799
-9.99,2,0.59767
-10.0,1,0.598112
-9.99,2,0.599125
-10.0,1,0.599719
-9.98,3,0.601044
-10.0,1,0.601492
-10.0,1,0.601933
-10.0,1,0.602378
-10.0,1,0.60284
-9.99,2,0.603704
-10.0,1,0.604144
-10.0,1,0.604597
-10.0,1,0.605035
-10.0,1,0.605476
-10.0,1,0.605912
-10.0,1,0.606349
-10.0,1,0.606786
-10.0,1,0.607231
-10.0,1,0.607667
-10.0,1,0.608116
-10.0,1,0.608558
-10.0,1,0.60924
-10.0,1,0.609791
-10.0,1,0.610252
-10.0,1,0.610723
-10.0,1,0.611175
-10.0,1,0.611612
-10.0,1,0.612041
-9.99,2,0.612922
-10.0,1,0.613362
-9.99,2,0.614327
-10.0,1,0.614819
-9.99,2,0.615764
-10.0,1,0.616262
-10.0,1,0.616721
-10.0,1,0.617174
-10.0,1,0.617626
-10.0,1,0.618084
-10.0,1,0.618557
-10.0,1,0.61901
-10.0,1,0.619457
-10.0,1,0.619908
-10.0,1,0.620355
-10.0,1,0.620804
-10.0,1,0.621267
-10.0,1,0.621748
-10.0,1,0.622269
-10.0,1,0.622797
-10.0,1,0.623362
-10.0,1,0.623883
-10.0,1,0.624333
-10.0,1,0.62478
-10.0,1,0.625228
-10.0,1,0.625704
-10.0,1,0.626183
-10.0,1,0.626647
-10.0,1,0.627151
-10.0,1,0.627613
-9.99,2,0.628548
-10.0,1,0.628996
-10.0,1,0.629448
-10.0,1,0.629903
-10.0,1,0.630352
-10.0,1,0.630838
-10.0,1,0.631301
-10.0,1,0.631762
-10.0,1,0.63224
-10.0,1,0.632711
-10.0,1,0.633272
-10.0,1,0.633841
-10.0,1,0.634346
-10.0,1,0.63483
-10.0,1,0.635302
-10.0,1,0.635758
-10.0,1,0.636222
-10.0,1,0.636683
-10.0,1,0.637133
-10.0,1,0.6376
-10.0,1,0.638044
-10.0,1,0.638501
-10.0,1,0.639
-10.0,1,0.639472
-10.0,1,0.639943
-10.0,1,0.640657
-9.99,2,0.641736
-9.99,2,0.642703
-9.99,2,0.643638
-10.0,1,0.644101
-10.0,1,0.644566
-10.0,1,0.645023
-10.0,1,0.645468
-9.99,2,0.646331
-10.0,1,0.646783
-10.0,1,0.647246
-10.0,1,0.647696
-10.0,1,0.648146
-10.0,1,0.648599
-10.0,1,0.649271
-10.0,1,0.649873
-10.0,1,0.650321
-10.0,1,0.65076
-10.0,1,0.651206
-10.0,1,0.651662
-10.0,1,0.652124
-10.0,1,0.652555
-10.0,1,0.652983
-10.0,1,0.65341
-10.0,1,0.653848
-9.99,2,0.654694
-10.0,1,0.655132
-10.0,1,0.655562
-10.0,1,0.656004
-10.0,1,0.656456
-9.99,2,0.657311
-10.0,1,0.657749
-10.0,1,0.658179
-10.0,1,0.658617
-10.0,1,0.65927
-10.0,1,0.65984
-10.0,1,0.660315
-10.0,1,0.660742
-10.0,1,0.661222
-10.0,1,0.661684
-10.0,1,0.662119
