#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.596573
-9.99,2,0.597568
-10.0,1,0.598029
-9.99,2,0.598899
-10.0,1,0.599349
-9.99,2,0.600244
-10.0,1,0.600709
-10.0,1,0.601188
-10.0,1,0.601656
-10.0,1,0.602126
-10.0,1,0.602584
-10.0,1,0.603063
-10.0,1,0.603526
-10.0,1,0.603989
-10.0,1,0.604443
-10.0,1,0.604872
-10.0,1,0.605317
-10.0,1,0.605752
-10.0,1,0.606191
-10.0,1,0.606646
-10.0,1,0.607105
-10.0,1,0.60757
-10.0,1,0.608068
-10.0,1,0.608527
-10.0,1,0.608981
-10.0,1,0.609425
-10.0,1,0.60988
-10.0,1,0.610331
-10.0,1,0.610773
-10.0,1,0.611334
-10.0,1,0.611961
-9.99,2,0.61296
-10.0,1,0.613438
-10.0,1,0.613888
-10.0,1,0.614609
-10.0,1,0.615332
-10.0,1,0.61585
-10.0,1,0.61637
-10.0,1,0.616963
-10.0,1,0.617498
-10.0,1,0.618005
-10.0,1,0.618473
-10.0,1,0.618924
-10.0,1,0.619378
-10.0,1,0.61985
-10.0,1,0.620289
-10.0,1,0.620724
-10.0,1,0.621162
-10.0,1,0.622162
-10.0,1,0.622754
-10.0,1,0.623327
-10.0,1,0.623834
-10.0,1,0.624304
-10.0,1,0.624873
-10.0,1,0.625344
-10.0,1,0.625784
-10.0,1,0.626228
-9.99,2,0.627106
-9.99,2,0.627995
-9.99,2,0.628841
-10.0,1,0.62928
-10.0,1,0.629716
-10.0,1,0.630154
-10.0,1,0.630588
-9.99,2,0.631438
-10.0,1,0.631873
-10.0,1,0.632326
-10.0,1,0.632761
-10.0,1,0.633202
-10.0,1,0.633645
-10.0,1,0.634077
-10.0,1,0.634574
-10.0,1,0.635414
-10.0,1,0.635977
-10.0,1,0.636507
-10.0,1,0.637022
-10.0,1,0.637537
-10.0,1,0.638013
-10.0,1,0.638489
-10.0,1,0.638963
-10.0,1,0.639519
-9.99,2,0.640427
-10.0,1,0.640868
-10.0,1,0.641459
-10.0,1,0.641943
-10.0,1,0.642397
-9.99,2,0.643254
-10.0,1,0.643691
-10.0,1,0.644139
-10.0,1,0.644583
-10.0,1,0.645154
-10.0,1,0.645613
-10.0,1,0.646049
-10.0,1,0.646495
-10.0,1,0.646945
-10.0,1,0.647376
-10.0,1,0.647811
-10.0,1,0.648242
-10.0,1,0.648671
-10.0,1,0.649094
-10.0,1,0.649537
-10.0,1,0.649978
-10.0,1,0.65042
-10.0,1,0.650854
-10.0,1,0.651302
-10.0,1,0.651732
-10.0,1,0.652163
-10.0,1,0.652595
-10.0,1,0.653027
-10.0,1,0.653458
-10.0,1,0.653889
-10.0,1,0.65432
-10.0,1,0.655038
-10.0,1,0.655762
-10.0,1,0.656316
-10.0,1,0.656783
-10.0,1,0.657262
-10.0,1,0.657741
-9.99,2,0.658736
-10.0,1,0.659187
-10.0,1,0.659627
-10.0,1,0.660063
-10.0,1,0.660497
-10.0,1,0.660951
-10.0,1,0.661388
-10.0,1,0.661818
-10.0,1,0.662249
-10.0,1,0.662686
-10.0,1,0.663129
-10.0,1,0.663561
-10.0,1,0.663993
-10.0,1,0.664425
-10.0,1,0.664859
-10.0,1,0.66531
-10.0,1,0.665748
-10.0,1,0.666178
-10.0,1,0.666621
-10.0,1,0.667059
-10.0,1,0.667488
-10.0,1,0.668015
-10.0,1,0.668745
-10.0,1,0.669209
-10.0,1,0.669646
-10.0,1,0.670095
-10.0,1,0.670524
-10.0,1,0.670961
-10.0,1,0.67139
-10.0,1,0.671821
-10.0,1,0.672254
-10.0,1,0.672679
-10.0,1,0.673103
-9.99,2,0.67396
-10.0,1,0.67441
-10.0,1,0.674844
-10.0,1,0.675283
-10.0,1,0.675717
-10.0,1,0.676148
-10.0,1,0.67658
-10.0,1,0.677009
-10.0,1,0.677436
-10.0,1,0.677866
-10.0,1,0.678723
-10.0,1,0.679377
-10.0,1,0.679895
-10.0,1,0.680357
-10.0,1,0.6808
-10.0,1,0.68124
-10.0,1,0.681685
-10.0,1,0.682124
-10.0,1,0.682562
-10.0,1,0.683009
-10.0,1,0.683448
-10.0,1,0.683904
-10.0,1,0.684346
-10.0,1,0.68479
-10.0,1,0.685232
-10.0,1,0.685675
-10.0,1,0.68612
-10.0,1,0.68657
-10.0,1,0.687003
-10.0,1,0.68744
-10.0,1,0.687871
-10.0,1,0.688767
-10.0,1,0.689341
-9.99,2,0.690483
-10.0,1,0.690968
-10.0,1,0.691459
-10.0,1,0.691931
-10.0,1,0.692398
-10.0,1,0.692846
-10.0,1,0.693297
-10.0,1,0.69379
-10.0,1,0.694239
-10.0,1,0.694828
-10.0,1,0.695398
-10.0,1,0.695876
-10.0,1,0.696367
-10.0,1,0.696921
-10.0,1,0.697425
-10.0,1,0.69787
-10.0,1,0.698488
-10.0,1,0.699018
-10.0,1,0.699495
-10.0,1,0.699955
-10.0,1,0.700417
-10.0,1,0.700867
-10.0,1,0.701314
-10.0,1,0.701776
-9.99,2,0.702673
-10.0,1,0.703161
-10.0,1,0.703652
-9.99,2,0.704669
-10.0,1,0.705133
-10.0,1,0.705577
-10.0,1,0.706021
-10.0,1,0.706466
-10.0,1,0.706906
-10.0,1,0.707349
-10.0,1,0.707792
-10.0,1,0.70842
-10.0,1,0.708978
-10.0,1,0.709459
-10.0,1,0.709925
-10.0,1,0.710403
-10.0,1,0.710852
-10.0,1,0.711343
-9.99,2,0.712359
-10.0,1,0.712912
-10.0,1,0.713405
-10.0,1,0.713841
-9.99,2,0.714678
-10.0,1,0.715111
-10.0,1,0.715547
-10.0,1,0.715982
-10.0,1,0.716408
-10.0,1,0.71684
-10.0,1,0.717269
-10.0,1,0.717715
-10.0,1,0.718224
-10.0,1,0.718837
-10.0,1,0.719371
-10.0,1,0.719905
-10.0,1,0.720414
-10.0,1,0.720946
-10.0,1,0.721511
-10.0,1,0.722043
-10.0,1,0.722515
-10.0,1,0.722992
-10.0,1,0.723438
-10.0,1,0.723879
-10.0,1,0.724317
-10.0,1,0.724757
-10.0,1,0.72519
-10.0,1,0.725624
-10.0,1,0.726057
-10.0,1,0.72649
-10.0,1,0.726913
-10.0,1,0.727356
-10.0,1,0.727787
-10.0,1,0.728411
-10.0,1,0.728882
-10.0,1,0.729311
-10.0,1,0.729764
-10.0,1,0.730199
-10.0,1,0.730633
-10.0,1,0.731068
-10.0,1,0.731503
-10.0,1,0.731955
-10.0,1,0.732386
-10.0,1,0.732825
-10.0,1,0.733263
-10.0,1,0.733694
-9.99,2,0.734545
-10.0,1,0.734984
-10.0,1,0.735417
-10.0,1,0.735849
-10.0,1,0.736299
-10.0,1,0.736731
-10.0,1,0.737161
-10.0,1,0.737594
-10.0,1,0.738027
-10.0,1,0.738891
-10.0,1,0.739624
